id;benchmark_id;agents;seed;cost;opt_cost;opt_diff
186819;80;2;1;254;254;0
186820;80;2;2;245;245;0
186821;80;2;3;208;206;2
186822;80;2;4;219;219;0
186823;80;2;5;304;304;0
186824;80;2;6;266;266;0
186825;80;2;7;221;221;0
186826;80;2;8;278;278;0
186827;80;2;9;239;237;2
186828;80;2;10;249;249;0
186829;80;2;11;176;176;0
186830;80;2;12;208;208;0
186831;80;2;13;245;245;0
186832;80;2;14;222;222;0
186833;80;2;15;211;211;0
186834;80;2;16;261;261;0
186835;80;2;17;210;210;0
186836;80;2;18;228;228;0
186837;80;2;19;229;226;3
186838;80;2;20;222;222;0
186839;80;2;21;236;236;0
186840;80;2;22;276;266;10
186841;80;2;23;310;310;0
186842;80;2;24;188;188;0
186843;80;2;25;252;248;4
186844;80;2;26;187;187;0
186845;80;2;27;208;208;0
186846;80;2;28;261;259;2
186847;80;2;29;260;258;2
186848;80;2;30;234;234;0
186849;80;2;31;226;226;0
186850;80;2;32;246;246;0
186851;80;2;33;278;278;0
186852;80;2;34;273;273;0
186853;80;2;35;223;217;6
186854;80;2;36;204;204;0
186855;80;2;37;233;233;0
186856;80;2;38;202;201;1
186857;80;2;39;227;225;2
186858;80;2;40;194;194;0
186859;80;2;41;279;273;6
186860;80;2;42;235;235;0
186861;80;2;43;225;225;0
186862;80;2;44;257;257;0
186863;80;2;45;207;207;0
186864;80;2;46;198;198;0
186865;80;2;47;254;254;0
186866;80;2;48;232;232;0
186867;80;2;49;220;218;2
186868;80;2;50;259;259;0
186869;80;3;51;292;292;0
186870;80;3;52;300;296;4
186871;80;3;53;382;382;0
186872;80;3;54;395;394;1
186873;80;3;55;399;390;9
186874;80;3;56;312;310;2
186875;80;3;57;356;356;0
186876;80;3;58;369;369;0
186877;80;3;59;392;386;6
186879;80;3;61;357;357;0
186880;80;3;62;353;346;7
186881;80;3;63;278;276;2
186882;80;3;64;320;320;0
186883;80;3;65;313;313;0
186885;80;3;67;404;398;6
186886;80;3;68;387;387;0
186887;80;3;69;382;375;7
186888;80;3;70;360;360;0
186890;80;3;72;326;326;0
186892;80;3;74;275;275;0
186893;80;3;75;327;327;0
186894;80;3;76;328;326;2
186895;80;3;77;361;356;5
186896;80;3;78;304;297;7
186897;80;3;79;390;385;5
186899;80;3;81;379;377;2
186901;80;3;83;351;351;0
186902;80;3;84;344;338;6
186903;80;3;85;311;311;0
186904;80;3;86;323;323;0
186905;80;3;87;326;326;0
186906;80;3;88;347;347;0
186907;80;3;89;430;426;4
186908;80;3;90;360;359;1
186909;80;3;91;293;293;0
186910;80;3;92;326;326;0
186911;80;3;93;380;377;3
186912;80;3;94;379;377;2
186913;80;3;95;363;359;4
186914;80;3;96;349;349;0
186915;80;3;97;384;379;5
186916;80;3;98;283;283;0
186918;80;3;100;419;411;8
186919;80;4;101;448;448;0
186921;80;4;103;468;464;4
186924;80;4;106;526;524;2
186925;80;4;107;518;510;8
186926;80;4;108;533;530;3
186933;80;4;115;394;394;0
186934;80;4;116;457;455;2
186936;80;4;118;413;413;0
186938;80;4;120;459;456;3
186940;80;4;122;489;487;2
186942;80;4;124;463;463;0
186944;80;4;126;417;417;0
186946;80;4;128;427;427;0
186947;80;4;129;446;446;0
186948;80;4;130;524;524;0
186950;80;4;132;522;518;4
186955;80;4;137;459;459;0
186957;80;4;139;417;415;2
186958;80;4;140;459;459;0
186961;80;4;143;432;428;4
186962;80;4;144;444;437;7
186963;80;4;145;432;425;7
186968;80;4;150;527;523;4
186969;80;5;151;569;568;1
186971;80;5;153;560;559;1
186976;80;5;158;548;545;3
186979;80;5;161;672;668;4
186986;80;5;168;584;576;8
186991;80;5;173;587;579;8
186993;80;5;175;607;607;0
186996;80;5;178;606;600;6
187013;80;5;195;693;682;11
187050;80;6;232;632;626;6
187115;80;7;297;681;680;1
