id;benchmark_id;agents;seed;cost;opt_cost;opt_diff
185419;82;2;1;175;175;0
185420;82;2;2;200;200;0
185421;82;2;3;170;170;0
185422;82;2;4;148;148;0
185423;82;2;5;219;219;0
185424;82;2;6;180;180;0
185425;82;2;7;156;156;0
185426;82;2;8;224;224;0
185427;82;2;9;183;183;0
185428;82;2;10;164;164;0
185429;82;2;11;191;191;0
185430;82;2;12;198;198;0
185431;82;2;13;186;186;0
185432;82;2;14;184;184;0
185433;82;2;15;202;202;0
185434;82;2;16;144;144;0
185435;82;2;17;198;198;0
185436;82;2;18;151;151;0
185437;82;2;19;178;178;0
185438;82;2;20;153;153;0
185439;82;2;21;181;181;0
185440;82;2;22;212;212;0
185441;82;2;23;156;156;0
185442;82;2;24;126;126;0
185443;82;2;25;216;216;0
185444;82;2;26;172;172;0
185445;82;2;27;208;208;0
185446;82;2;28;176;176;0
185447;82;2;29;146;146;0
185448;82;2;30;137;137;0
185449;82;2;31;160;160;0
185450;82;2;32;130;130;0
185451;82;2;33;225;225;0
185452;82;2;34;200;200;0
185453;82;2;35;96;96;0
185454;82;2;36;177;177;0
185455;82;2;37;193;193;0
185456;82;2;38;205;205;0
185457;82;2;39;208;208;0
185458;82;2;40;222;222;0
185459;82;2;41;130;130;0
185460;82;2;42;191;191;0
185461;82;2;43;201;201;0
185462;82;2;44;173;173;0
185463;82;2;45;155;155;0
185464;82;2;46;144;144;0
185465;82;2;47;199;199;0
185466;82;2;48;215;215;0
185467;82;2;49;188;188;0
185468;82;2;50;172;171;1
185469;82;3;51;284;284;0
185470;82;3;52;239;239;0
185471;82;3;53;263;263;0
185472;82;3;54;289;289;0
185474;82;3;56;260;260;0
185475;82;3;57;293;293;0
185476;82;3;58;273;273;0
185477;82;3;59;202;202;0
185478;82;3;60;260;260;0
185479;82;3;61;307;307;0
185480;82;3;62;245;245;0
185481;82;3;63;261;261;0
185482;82;3;64;262;262;0
185483;82;3;65;228;226;2
185484;82;3;66;209;207;2
185485;82;3;67;205;205;0
185486;82;3;68;238;238;0
185487;82;3;69;319;319;0
185488;82;3;70;237;237;0
185489;82;3;71;261;261;0
185490;82;3;72;289;289;0
185491;82;3;73;231;231;0
185492;82;3;74;264;262;2
185493;82;3;75;311;311;0
185494;82;3;76;197;197;0
185495;82;3;77;230;230;0
185496;82;3;78;172;172;0
185497;82;3;79;312;312;0
185498;82;3;80;272;270;2
185499;82;3;81;285;285;0
185500;82;3;82;237;237;0
185501;82;3;83;312;312;0
185502;82;3;84;282;282;0
185503;82;3;85;332;332;0
185504;82;3;86;266;266;0
185505;82;3;87;274;274;0
185506;82;3;88;255;255;0
185507;82;3;89;278;277;1
185508;82;3;90;297;297;0
185509;82;3;91;200;200;0
185510;82;3;92;258;258;0
185511;82;3;93;250;250;0
185512;82;3;94;246;246;0
185513;82;3;95;287;287;0
185514;82;3;96;259;259;0
185515;82;3;97;335;335;0
185516;82;3;98;301;301;0
185517;82;3;99;254;254;0
185518;82;3;100;299;299;0
185519;82;4;101;354;354;0
185520;82;4;102;284;284;0
185522;82;4;104;388;388;0
185524;82;4;106;337;337;0
185526;82;4;108;237;237;0
185530;82;4;112;407;406;1
185534;82;4;116;358;358;0
185535;82;4;117;224;224;0
185536;82;4;118;261;261;0
185538;82;4;120;345;343;2
185539;82;4;121;335;335;0
185542;82;4;124;375;375;0
185543;82;4;125;373;373;0
185546;82;4;128;361;361;0
185548;82;4;130;320;319;1
185549;82;4;131;362;360;2
185550;82;4;132;383;383;0
185551;82;4;133;324;324;0
185552;82;4;134;312;312;0
185553;82;4;135;395;394;1
185558;82;4;140;359;359;0
185563;82;4;145;316;316;0
185566;82;4;148;320;318;2
185569;82;5;151;320;320;0
185583;82;5;165;460;460;0
185584;82;5;166;417;417;0
185587;82;5;169;398;398;0
185591;82;5;173;398;398;0
185594;82;5;176;285;285;0
185595;82;5;177;335;335;0
185598;82;5;180;395;395;0
185600;82;5;182;479;479;0
185602;82;5;184;332;332;0
185610;82;5;192;454;454;0
185615;82;5;197;418;418;0
185625;82;6;207;546;546;0
185630;82;6;212;544;544;0
185635;82;6;217;514;514;0
185664;82;6;246;642;642;0
